adapter_seed,gate_seed,condition,control,difference_pp,harmful_difference_pp,harmful_beats_control
0,101,noise4,random_sae_gate_0_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_10_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_11_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_12_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_13_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_14_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_15_correct,-0.05,0.08,True
0,101,noise4,random_sae_gate_16_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_17_correct,0.01,0.08,True
0,101,noise4,random_sae_gate_18_correct,0.01,0.08,True
0,101,noise4,random_sae_gate_19_correct,0.06,0.08,True
0,101,noise4,random_sae_gate_1_correct,-0.08,0.08,True
0,101,noise4,random_sae_gate_2_correct,-0.03,0.08,True
0,101,noise4,random_sae_gate_3_correct,0.0,0.08,True
0,101,noise4,random_sae_gate_4_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_5_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_6_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_7_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_8_correct,-0.01,0.08,True
0,101,noise4,random_sae_gate_9_correct,0.02,0.08,True
0,101,blur4,random_sae_gate_0_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_10_correct,-0.01,0.27,True
0,101,blur4,random_sae_gate_11_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_12_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_13_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_14_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_15_correct,-0.04,0.27,True
0,101,blur4,random_sae_gate_16_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_17_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_18_correct,-0.02,0.27,True
0,101,blur4,random_sae_gate_19_correct,-0.02,0.27,True
0,101,blur4,random_sae_gate_1_correct,-0.04,0.27,True
0,101,blur4,random_sae_gate_2_correct,0.01,0.27,True
0,101,blur4,random_sae_gate_3_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_4_correct,-0.02,0.27,True
0,101,blur4,random_sae_gate_5_correct,-0.02,0.27,True
0,101,blur4,random_sae_gate_6_correct,-0.01,0.27,True
0,101,blur4,random_sae_gate_7_correct,-0.01,0.27,True
0,101,blur4,random_sae_gate_8_correct,0.0,0.27,True
0,101,blur4,random_sae_gate_9_correct,0.01,0.27,True
1,201,noise4,random_sae_gate_0_correct,0.05,0.22,True
1,201,noise4,random_sae_gate_10_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_11_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_12_correct,0.01,0.22,True
1,201,noise4,random_sae_gate_13_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_14_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_15_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_16_correct,0.01,0.22,True
1,201,noise4,random_sae_gate_17_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_18_correct,0.04,0.22,True
1,201,noise4,random_sae_gate_19_correct,0.11,0.22,True
1,201,noise4,random_sae_gate_1_correct,0.06999999999999999,0.22,True
1,201,noise4,random_sae_gate_2_correct,0.05,0.22,True
1,201,noise4,random_sae_gate_3_correct,-0.03,0.22,True
1,201,noise4,random_sae_gate_4_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_5_correct,0.06999999999999999,0.22,True
1,201,noise4,random_sae_gate_6_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_7_correct,0.06,0.22,True
1,201,noise4,random_sae_gate_8_correct,0.0,0.22,True
1,201,noise4,random_sae_gate_9_correct,0.0,0.22,True
1,201,blur4,random_sae_gate_0_correct,-0.06,0.53,True
1,201,blur4,random_sae_gate_10_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_11_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_12_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_13_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_14_correct,0.02,0.53,True
1,201,blur4,random_sae_gate_15_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_16_correct,-0.04,0.53,True
1,201,blur4,random_sae_gate_17_correct,0.01,0.53,True
1,201,blur4,random_sae_gate_18_correct,-0.06999999999999999,0.53,True
1,201,blur4,random_sae_gate_19_correct,-0.06999999999999999,0.53,True
1,201,blur4,random_sae_gate_1_correct,0.06,0.53,True
1,201,blur4,random_sae_gate_2_correct,-0.08,0.53,True
1,201,blur4,random_sae_gate_3_correct,-0.02,0.53,True
1,201,blur4,random_sae_gate_4_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_5_correct,0.03,0.53,True
1,201,blur4,random_sae_gate_6_correct,0.01,0.53,True
1,201,blur4,random_sae_gate_7_correct,0.04,0.53,True
1,201,blur4,random_sae_gate_8_correct,0.0,0.53,True
1,201,blur4,random_sae_gate_9_correct,0.0,0.53,True
2,301,noise4,random_sae_gate_0_correct,-0.06999999999999999,0.2,True
2,301,noise4,random_sae_gate_10_correct,-0.01,0.2,True
2,301,noise4,random_sae_gate_11_correct,-0.02,0.2,True
2,301,noise4,random_sae_gate_12_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_13_correct,-0.01,0.2,True
2,301,noise4,random_sae_gate_14_correct,-0.03,0.2,True
2,301,noise4,random_sae_gate_15_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_16_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_17_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_18_correct,-0.04,0.2,True
2,301,noise4,random_sae_gate_19_correct,-0.03,0.2,True
2,301,noise4,random_sae_gate_1_correct,-0.01,0.2,True
2,301,noise4,random_sae_gate_2_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_3_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_4_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_5_correct,-0.05,0.2,True
2,301,noise4,random_sae_gate_6_correct,0.0,0.2,True
2,301,noise4,random_sae_gate_7_correct,-0.01,0.2,True
2,301,noise4,random_sae_gate_8_correct,-0.03,0.2,True
2,301,noise4,random_sae_gate_9_correct,0.0,0.2,True
2,301,blur4,random_sae_gate_0_correct,-0.02,0.61,True
2,301,blur4,random_sae_gate_10_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_11_correct,-0.06,0.61,True
2,301,blur4,random_sae_gate_12_correct,0.02,0.61,True
2,301,blur4,random_sae_gate_13_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_14_correct,0.01,0.61,True
2,301,blur4,random_sae_gate_15_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_16_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_17_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_18_correct,-0.01,0.61,True
2,301,blur4,random_sae_gate_19_correct,-0.05,0.61,True
2,301,blur4,random_sae_gate_1_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_2_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_3_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_4_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_5_correct,-0.02,0.61,True
2,301,blur4,random_sae_gate_6_correct,0.0,0.61,True
2,301,blur4,random_sae_gate_7_correct,-0.01,0.61,True
2,301,blur4,random_sae_gate_8_correct,0.05,0.61,True
2,301,blur4,random_sae_gate_9_correct,0.0,0.61,True
